lei,respondent_name,respondent_city,respondent_state,type_name,respondent_rssd
54930068Z8KYBS473E83,BANK MUTUAL,Brown Deer,WI,Bank or Affiliate,806378
549300C0NMWZNSX3W048,THE 1ST NAT BANK OF BANGOR,Bangor,WI,Bank or Affiliate,627854
549300LXCDKIWPEE4R73,THE PESHTIGO NAT BANK,Peshtigo,WI,Bank or Affiliate,257345
549300LXUXE7P1Q87D65,THE 1ST NAT BANK OF PETERSTOWN,Peterstown,WV,Bank or Affiliate,719030
549300OWLJ3NG26J9N79,1ST NAT BANK,Hamilton,AL,Bank or Affiliate,330239
254900FN90BBXGBCPB30,THE 1ST NAT BANK OF HARTFORD,Hartford,AL,Bank or Affiliate,112332
549300AR337B2RGP3C69,LEGACY NAT BANK,Springdale,AR,Bank or Affiliate,3306280
549300GCILEV6KJUST91,RELYANCE BANK,Pine Bluff,AR,Bank or Affiliate,49241
549300BREPLU2KKPI102,THE 1ST NAT BANK OF FORT SMITH,Fort Smith,AR,Bank or Affiliate,397540
549300SEIRB4CK6DTC04,THE 1ST NAT BANK OF LAWRENCE COUNTY AT WALNUT RIDGE,Walnut Ridge,AR,Bank or Affiliate,799948
5493003EW6T31TGECO83,1ST NAT BANK,Paragould,AR,Bank or Affiliate,42448
5493000LJB0L73TDJT41,1ST NAT BANK OF NORTH ARKANSAS,Berryville,AR,Bank or Affiliate,864846
549300LH06ZZHKPX5U83,BNC NAT BANK,Glendale,AZ,Bank or Affiliate,2358769
549300IBHVRZNE4YFN80,BANC OF CALIFORNIA,Santa Ana,CA,Bank or Affiliate,200378
549300Q4JBLTKDC7J303,BANK OF WHITTIER,Whittier,CA,Bank or Affiliate,209362
549300FKX3KC0CFK2D88,COMMUNITY WEST BANK,Goleta,CA,Bank or Affiliate,1412712
2549008TT6UNYR7AXF54,SUNFLOWER BANK,Denver,CO,Bank or Affiliate,474759
GDN5JXQ4P5NZE28ZRC90,CITY NAT BANK OF FLORIDA,Miami,FL,Bank or Affiliate,814430
5493005JF6BKCN6OY689,FINEMARK NAT BANK & TRUST,Fort Myers,FL,Bank or Affiliate,3547131
549300U5SDGYPSPXZU37,NATBANK,Hollywood,FL,Bank or Affiliate,2233875
5493006MCOP60BBI4G97,SEACOAST NAT BANK,Stuart,FL,Bank or Affiliate,34537
UPMVBH3EU3LS6P1KR697,AMERANT BANK,Coral Gables,FL,Bank or Affiliate,83638
549300U37SC1LBUJFV92,DESJARDINS BANK,Hallandale Beach,FL,Bank or Affiliate,1940747
549300ZIXM1VUXPG4D03,FLORIDA CAPITAL BANK,Jacksonville,FL,Bank or Affiliate,188430
5493008CIXOTKUFPFW43,HEARTLAND NAT BANK,Sebring,FL,Bank or Affiliate,2800491
254900C2QXQ435D8TY78,QUEENSBOROUGH NAT B&T,Louisville,GA,Bank or Affiliate,960935
549300YJ77JVC6X3BO61,THOMASVILLE NAT BANK,Thomasville,GA,Bank or Affiliate,2344753
25490052T4M68YYACN14,QUANTUM NAT BANK,SUWANEE,GA,Bank or Affiliate,2354387
549300OIJZOV6CPR1Y57,1ST NAT BANK AMES IOWA,Ames,IA,Bank or Affiliate,820048
2549002IXACRD1HE6A92,MIDSTATES BANK,Council Bluffs,IA,Bank or Affiliate,728948
549300OZ8A612R2D8J95,LIBERTY NAT BANK,Sioux City,IA,Bank or Affiliate,3140822
5493003QPO86QUI9FJ04,THE SECURITY NAT BANK OF SIOUX CITY IOWA,Sioux City,IA,Bank or Affiliate,418249
549300AQ83ZR1PW5DB53,AMER B&T,Davenport,IA,Bank or Affiliate,2733263
5493005ITNB06W8ZHD39,NAT BANK OF ST ANNE,St. Anne,IL,Bank or Affiliate,760340
B94HV8SXGDD3J5XESU08,OLD SECOND NAT BANK,Aurora,IL,Bank or Affiliate,936136
549300DL7AWRPX6NXO12,THE 1ST NAT BANK OF OTTAWA,Ottawa,IL,Bank or Affiliate,856243
549300RAQJBTN6Z28096,WINTRUST BANK,Chicago,IL,Bank or Affiliate,2239288
54930061HIZ1MCMEOR72,BANKFINANCIAL,Olympia Fields,IL,Bank or Affiliate,454676
54930000REMJYLBAS614,THE 1ST NAT BANK IN CARLYLE,Carlyle,IL,Bank or Affiliate,614948
549300XOTES5TCS8T794,1ST MID BANK & TRUST,Mattoon,IL,Bank or Affiliate,762447
549300HGDJQ37M5BE268,INB,Springfield,IL,Bank or Affiliate,925037
9LIMABRJ9VPV74PBJB17,HINSDALE B&T,Hinsdale,IL,Bank or Affiliate,2119773
54930001LYHHRVGJ6B97,CORNERSTONE NAT B&T,Palatine,IL,Bank or Affiliate,2929392
549300KTBKVRBY302A16,BANK OF HILLSBORO,Hillsboro,IL,Bank or Affiliate,659341
549300LAE6XLBPPTPI03,THE 1ST NAT BANK IN STAUNTON,Staunton,IL,Bank or Affiliate,126740
2549003SD8SH7JXN6S72,1ST BANKERS TRUST CO,Quincy,IL,Bank or Affiliate,344647
5493000BIR9N6Y5KFV24,CNB B&T,Carlinville,IL,Bank or Affiliate,613343
549300U8L31JJT1ZDP60,PEOPLES NAT BANK,Mount Vernon,IL,Bank or Affiliate,375043
C398JSK21YCXWM603F55,BARRINGTON B&T,Barrington,IL,Bank or Affiliate,2508751
254900LD3DEBFTITLD76,FARMERS NAT BANK,Prophetstown,IL,Bank or Affiliate,933041
5493002GOGIUXB84JB89,1ST NAT BANK OF WATERLOO,Waterloo,IL,Bank or Affiliate,145545
549300AUFLERO59VGC71,HOME STATE BANK,Crystal Lake,IL,Bank or Affiliate,696430
5493004LTLRA7Y5L3696,THE FISHER NAT BANK,Fisher,IL,Bank or Affiliate,739832
549300CSKW4TNZHEOO36,BUENA VISTA NAT BANK,Chester,IL,Bank or Affiliate,621441
549300OA8B0OLDA16R42,THE FARMERS AND MERCHANTS NAT BANK OF NASHVILLE,Nashville,IL,Bank or Affiliate,513546
254900RAPDJZFI07WS81,HOMETOWN NAT BANK,LaSalle,IL,Bank or Affiliate,770639
549300KH5RQTNDNNHM28,THE 1ST NAT BANK OF CARMI,Carmi,IL,Bank or Affiliate,209148
549300BK51FTOVBDMC15,THE BRADFORD NAT BANK OF GREENVILLE,Greenville,IL,Bank or Affiliate,720746
2549006L3U88MNTL7K26,STILLMAN BANCCORP,Stillman Valley,IL,Bank or Affiliate,407645
549300OZZQ1ZON9W1K45,THE 1ST NAT BANK OF AVA,Ava,IL,Bank or Affiliate,858443
549300XYOAX0LV89BL94,FCN BANK,Brookville,IN,Bank or Affiliate,321947
549300E0S1LZYZ9QNX81,1ST FIN BANK,Terre Haute,IN,Bank or Affiliate,693345
54930035C68SRQ1RS395,1ST NAT BANK,Cloverdale,IN,Bank or Affiliate,60648
2549005LG69OCBT9WE71,THE RIDDELL NAT BANK,Brazil,IN,Bank or Affiliate,319047
549300FTS7TVGFDGUH88,THE NAT BANK OF INDIANAPOLIS,Indianapolis,IN,Bank or Affiliate,2132941
549300IXP5DNWSGY6F96,INTRUST BANK,Wichita,KS,Bank or Affiliate,557858
254900L3UJN7196A5W71,CENTRAL NAT BANK,Junction City,KS,Bank or Affiliate,234355
549300FJI86JAMJGHR47,SOUTHWEST NAT BANK,Wichita,KS,Bank or Affiliate,499855
549300KR4ZW8KJC82O47,COMMUNITY 1ST NAT BANK,Manhattan,KS,Bank or Affiliate,2907019
8AI385EP1ZJCMUOZ8022,LANDMARK NAT BANK,Manhattan,KS,Bank or Affiliate,481177
549300MUMD1WPCSXT518,COMMUNITY NAT BANK & TRUST,Chanute,KS,Bank or Affiliate,923752
549300IY6RZNCBF0QZ14,COMMUNITY NAT BANK,Seneca,KS,Bank or Affiliate,354552
549300JCW11CIGH8GJ60,THE CITIZENS NAT BANK OF SOMERSET,Somerset,KY,Bank or Affiliate,410917
549300OULGV8ZW0JV320,CUMBERLAND VALLEY NAT B&T,East Bernstadt,KY,Bank or Affiliate,647218
549300DUOQ7XXHRKPG35,THE LOLN NAT BANK OF HODGENVILLE,Hodgenville,KY,Bank or Affiliate,553944
549300RGUEWNDH44ES51,FORCHT BANK,Lexington,KY,Bank or Affiliate,3141726
